id,name
1,Sahara Mutual Fund
2,Taurus Mutual Fund
3,Baroda Mutual Fund
4,BNP Paribas Mutual Fund
5,Essel Mutual Fund
6,ICICI Prudential Mutual Fund
7,Invesco Mutual Fund
8,L&T Mutual Fund
9,Mahindra Manulife Mutual Fund
10,Nippon India Mutual Fund
11,Principal Mutual Fund
12,quant Mutual Fund
13,Sundaram Mutual Fund
14,UTI Mutual Fund
15,Aditya Birla Sun Life Mutual Fund
16,Axis Mutual Fund
17,Canara Robeco Mutual Fund
18,DSP Mutual Fund
19,Edelweiss Mutual Fund
20,Franklin Templeton Mutual Fund
21,HDFC Mutual Fund
22,HSBC Mutual Fund
23,IDBI Mutual Fund
24,IDFC Mutual Fund
25,Indiabulls Mutual Fund
26,JM Financial Mutual Fund
27,Kotak Mahindra Mutual Fund
28,LIC Mutual Fund
29,Mirae Asset Mutual Fund
30,PGIM India Mutual Fund
31,SBI Mutual Fund
32,Tata Mutual Fund
33,Union Mutual Fund
34,BOI AXA Mutual Fund
35,Motilal Oswal Mutual Fund
36,Quantum Mutual Fund
37,IIFL Mutual Fund
38,PPFAS Mutual Fund
39,Shriram Mutual Fund
40,IIFCL Mutual Fund (IDF)
41,IL&FS Mutual Fund (IDF)
42,YES Mutual Fund
43,ITI Mutual Fund
